# .test .cputime .temperature .time_mat1 .time_mat2
457 0.398095  7.305 0.006350 0.009623
458 0.398102  7.305 0.006399 0.009690
459 0.398782  8.766 0.006348 0.009737
460 0.400257  7.792 0.006446 0.009748
461 0.404398  8.766 0.006455 0.009800
462 0.401877  7.792 0.006491 0.009912
463 0.401946  7.792 0.006493 0.009940
464 0.402818  8.279 0.006556 0.009976
465 0.404984  8.279 0.006524 0.010021
466 0.405098  8.279 0.006612 0.010066
467 0.405884  8.279 0.006642 0.010061
468 0.407209  7.305 0.006669 0.010087
469 0.408018  6.818 0.006657 0.010138
470 0.407762  8.279 0.006767 0.010178
471 0.412653  7.792 0.006732 0.010249
472 0.411472  7.305 0.006769 0.010266
473 0.411547  7.305 0.006793 0.010317
474 0.416488  7.792 0.006794 0.010444
475 0.413693  8.279 0.006810 0.010447
476 0.414976  8.279 0.006850 0.010488
477 0.415644  7.792 0.006896 0.010449
478 0.415043  8.766 0.006945 0.010562
479 0.416832  7.792 0.006958 0.010553
480 0.417807  8.279 0.006971 0.010687
481 0.419517  8.766 0.007018 0.010724
482 0.419285  8.279 0.007073 0.010751
483 0.421435  8.279 0.007083 0.010804
484 0.421773  8.279 0.007099 0.010862
485 0.422447  8.279 0.007140 0.010869
486 0.422595  8.766 0.007088 0.010910
487 0.423690  8.766 0.007189 0.010993
488 0.424368  7.792 0.007241 0.011049
489 0.426237  8.766 0.007287 0.011023
490 0.426310  7.305 0.007276 0.011149
491 0.426499  8.279 0.007330 0.011126
492 0.428671  7.305 0.007332 0.011208
493 0.429370  7.305 0.007396 0.011194
494 0.429619  8.279 0.007349 0.011284
495 0.432144  8.766 0.007443 0.011334
496 0.431766  7.792 0.007460 0.011384
497 0.432623  9.253 0.007566 0.011382
498 0.437782  8.766 0.007494 0.011480
499 0.437310  7.792 0.007595 0.011455
500 0.434372  8.766 0.007555 0.011466
